Timestamp,Pass-Fail,"Contrast","Print Growth","Axial Non-uniformity","Unused Error Correction"
"2022-06-27_12-50-55.154","Pass","0.753708277822619","-0.09765625","0.00305188199389624","1"
"2022-06-27_12-51-08.856","Pass","0.751007715455973","-0.091796875","0.00203821656050955","1"
"2022-06-27_12-51-08.974","Pass","0.749282130129672","-0.10546875","0.00406814136791253","1"
"2022-06-27_12-51-09.066","Pass","0.584301522718892","-0.1796875","0.00378262514184844","1"
"2022-06-27_12-51-09.160","Pass","0.532966191036579","-0.2109375","0.000251667295834906","1"
"2022-06-27_12-51-09.253","Pass","0.590120079039368","-0.19921875","0.0065590312815338","1"
"2022-06-27_12-51-09.347","Pass","0.584708265425714","-0.201171875","0.00756620428751576","1"
"2022-06-27_12-51-09.424","Pass","0.566433102649493","-0.208984375","0.00605143721633888","1"
"2022-06-27_12-51-09.503","Pass","0.57128034605272","-0.193359375","0.00429022082018927","1"
"2022-06-27_12-51-09.595","Pass","0.528657418218557","-0.2109375","0.00100502512562814","1"
"2022-06-27_12-51-09.671","Pass","0.590895082853912","-0.201171875","0.00302495588606","1"
"2022-06-27_12-51-09.763","Pass","0.734488429460825","-0.0859375","0.00331252388839343","1"
"2022-06-27_12-51-09.884","Pass","0.73581505605507","-0.080078125","0.00229328576888776","1"
"2022-06-27_12-51-09.978","Pass","0.797959007010671","-0.009765625","0.00204029584289722","1"
"2022-06-27_12-51-10.058","Pass","0.757291604111927","-0.08984375","0.00330830894515842","1"
"2022-06-27_12-51-10.150","Pass","0.771396849434632","-0.076171875","0.00279862612899122","1"
"2022-06-27_12-51-10.243","Pass","0.802149395000322","-0.00390625","0.000762873490146217","1"
"2022-06-27_12-51-10.353","Pass","0.760828472951041","-0.091796875","0.00229095074455899","1"
"2022-06-27_12-51-10.431","Pass","0.759082703676658","-0.095703125","0.00432185076903521","1"
"2022-06-27_12-51-10.509","Pass","0.597465829040667","-0.173828125","0.00327910203052087","1"
"2022-06-27_12-51-10.601","Pass","0.550262361003837","-0.19921875","0.00025179403248143","1"
"2022-06-27_12-51-10.678","Pass","0.602979176166591","-0.19140625","0.00630596544330937","1"
"2022-06-27_12-51-10.756","Pass","0.597270490966271","-0.1953125","0.00731307527424032","1"
"2022-06-27_12-51-10.852","Pass","0.57886507532613","-0.19921875","0.00580002521750095","1"
"2022-06-27_12-51-10.942","Pass","0.586024254851292","-0.185546875","0.00429022082018927","1"
"2022-06-27_12-51-11.034","Pass","0.544828837544553","-0.203125","0.00100553041729512","1"
"2022-06-27_12-51-11.127","Pass","0.604441723526751","-0.193359375","0.00302495588606","1"
"2022-06-27_12-51-11.206","Pass","0.766868816927402","-0.06640625","0.00382019610339997","1"
"2022-06-27_12-51-11.297","Pass","0.762366454971738","-0.080078125","0.00178139712431607","1"
"2022-06-27_12-51-11.377","Pass","0.74172424917356","-0.095703125","0.00304878048780488","1"
