Timestamp,Pass-Fail,FoundCaliper1Distance,FoundCaliper2Distance,FoundCaliper3Distance,FoundCaliper4Distance,Part No,Operator
2022-06-22_13-31-34.971,Pass,13.4495973,12.72641243,14.57267317,9.832854993,1,1
2022-06-22_13-31-37.664,Pass,13.42896788,12.72516692,14.58224949,9.822846728,1,1
2022-06-22_13-31-38.303,Pass,13.43554732,12.72607955,14.53663016,9.818520478,1,1
2022-06-22_13-31-39.857,Pass,13.35722757,12.14874503,14.50727896,9.639110362,2,1
2022-06-22_13-31-40.769,Pass,13.35405023,12.16537491,14.49954654,9.650949764,2,1
2022-06-22_13-31-41.479,Pass,13.34812367,12.17602143,14.4981983,9.657628335,2,1
2022-06-22_13-31-42.550,Pass,13.13161944,12.05557784,14.71832078,10.8153457,3,1
2022-06-22_13-31-43.517,Pass,13.12257615,12.05123143,14.70859943,10.82276425,3,1
2022-06-22_13-31-43.916,Pass,13.13869,12.04773745,14.69488085,10.81782943,3,1
2022-06-22_13-31-44.765,Pass,11.55944027,14.24629385,13.69183321,13.09344675,4,1
2022-06-22_13-31-45.787,Pass,11.55696951,14.23628506,13.68516782,13.07225425,4,1
2022-06-22_13-31-46.194,Pass,11.55117709,14.21538498,13.70200656,13.10238424,4,1
2022-06-22_13-31-46.779,Pass,13.87766728,13.39557863,15.65247324,10.29058332,5,1
2022-06-22_13-31-47.605,Pass,13.86278895,13.39368259,15.65289523,10.29472133,5,1
2022-06-22_13-31-47.982,Pass,13.86735331,13.37436433,15.64269277,10.28120529,5,1
2022-06-22_13-31-48.651,Pass,13.24249639,12.29197636,14.68673095,9.977996462,6,1
2022-06-22_13-31-49.424,Pass,13.24934753,12.26917237,14.69433614,9.97475112,6,1
2022-06-22_13-31-49.863,Pass,13.25675978,12.2760052,14.68441901,9.974107009,6,1
2022-06-22_13-31-50.671,Pass,13.26371671,11.94238011,14.73703971,9.205265293,7,1
2022-06-22_13-31-51.179,Pass,13.26016673,11.93837227,14.76168784,9.211796722,7,1
2022-06-22_13-31-52.903,Pass,13.25442406,11.9241201,14.73360819,9.204337974,7,1
2022-06-22_13-31-54.380,Pass,12.38975293,13.90125165,14.15663292,12.55251681,8,1
2022-06-22_13-31-55.229,Pass,12.41730181,13.89854085,14.20623186,12.54275815,8,1
2022-06-22_13-31-55.697,Pass,12.39400807,13.89805304,14.18195943,12.55729461,8,1
2022-06-22_13-31-56.548,Pass,11.4972906,13.93375581,14.48445683,13.12689902,9,1
2022-06-22_13-31-57.422,Pass,11.48878455,13.93039288,14.47781355,13.10816988,9,1
2022-06-22_13-31-57.921,Pass,11.49446519,13.90942016,14.47998837,13.09693142,9,1
2022-06-22_13-31-59.201,Pass,11.80791358,14.89698966,13.49569982,12.53208201,10,1
2022-06-22_13-32-00.433,Pass,11.7822425,14.87643254,13.47530982,12.53354985,10,1
2022-06-22_13-32-02.072,Pass,11.82002399,14.86603416,13.51346897,12.52967062,10,1
