Timestamp,Pass-Fail,Pat Score,Pat Angle,Pat Scale,Part No,Operator
2022-06-21_11-35-29.005,Pass,0.99147433,3.046677872,1.003095535,1,1
2022-06-21_11-35-31.285,Pass,0.992687941,3.064957165,1.002926918,1,1
2022-06-21_11-35-32.851,Pass,0.98783356,3.064393499,1.002993627,1,1
2022-06-21_11-35-34.912,Pass,0.958179593,2.873474524,0.998996436,2,1
2022-06-21_11-35-36.385,Pass,0.955399036,2.875687568,0.998858038,2,1
2022-06-21_11-35-37.137,Pass,0.957350731,2.876855104,0.998827694,2,1
2022-06-21_11-35-37.953,Pass,0.984192789,0.41794414,1.000445767,3,1
2022-06-21_11-35-38.470,Pass,0.979144037,0.429580638,1.000251592,3,1
2022-06-21_11-35-39.037,Pass,0.978532553,0.41768554,1.00028532,3,1
2022-06-21_11-35-39.756,Pass,0.956991255,2.846401132,1.000269704,4,1
2022-06-21_11-35-40.232,Pass,0.956991255,2.847552262,1.000167495,4,1
2022-06-21_11-35-40.683,Pass,0.957133472,2.835281968,1.000296853,4,1
2022-06-21_11-35-41.565,Pass,0.979945183,0.955224028,1.00178297,5,1
2022-06-21_11-35-42.017,Pass,0.979945183,0.951687462,1.001760971,5,1
2022-06-21_11-35-42.393,Pass,0.979338408,0.956143425,1.001765283,5,1
2022-06-21_11-35-43.165,Pass,0.949012876,-0.212693574,1.0064692,6,1
2022-06-21_11-35-43.712,Pass,0.948609889,-0.208142105,1.006088696,6,1
2022-06-21_11-35-44.117,Pass,0.948823214,-0.21202142,1.00650097,6,1
2022-06-21_11-35-44.742,Pass,0.962575138,1.003102428,1.000998431,7,1
2022-06-21_11-35-45.177,Pass,0.969008505,1.014384889,1.001000515,7,1
2022-06-21_11-35-45.584,Pass,0.962940633,0.99702339,1.000959417,7,1
2022-06-21_11-35-46.191,Pass,0.958543718,-1.700193852,1.00016047,8,1
2022-06-21_11-35-46.629,Pass,0.958529532,-1.706531276,1.00002133,8,1
2022-06-21_11-35-46.996,Pass,0.963507175,-1.709661008,0.999977958,8,1
2022-06-21_11-35-47.619,Pass,0.982979178,1.925594017,1.005135468,9,1
2022-06-21_11-35-48.088,Pass,0.978124797,1.91400909,1.005038237,9,1
2022-06-21_11-35-48.455,Pass,0.978124797,1.918062681,1.005132389,9,1
2022-06-21_11-35-49.080,Pass,0.982372403,2.47140049,1.003436761,10,1
2022-06-21_11-35-49.547,Pass,0.979945183,2.472084773,1.003483974,10,1
2022-06-21_11-35-49.953,Pass,0.977765083,2.477230345,1.003366847,10,1
